component,isin,euronext_ticker,yahoo_ticker
ABN AMRO BANK N.V.,NL0011540547,ABN,ABN.AS
ADYEN,NL0012969182,ADYEN,ADYEN.AS
AEGON,BMG0112X1056,AGN,AGN.AS
AKZO NOBEL,NL0013267909,AKZA,AKZA.AS
ARCELORMITTAL SA,LU1598757687,MT,MT.AS
ASM INTERNATIONAL,NL0000334118,ASM,ASM.AS
ASML HOLDING,NL0010273215,ASML,ASML.AS
ASR NEDERLAND,NL0011872643,ASRNL,ASRNL.AS
BE SEMICONDUCTOR,NL0012866412,BESI,BESI.AS
DSM FIRMENICH AG,CH1216478797,DSFIR,DSFIR.AS
EXOR NV,NL0012059018,EXO,EXO.AS
HEINEKEN,NL0000009165,HEIA,HEIA.AS
IMCD,NL0010801007,IMCD,IMCD.AS
ING GROEP N.V.,NL0011821202,INGA,INGA.AS
PHILIPS KON,NL0000009538,PHIA,PHIA.AS
AHOLD DEL,NL0011794037,AD,AD.AS
KPN KON,NL0000009082,KPN,KPN.AS
NN GROUP,NL0010773842,NN,NN.AS
PROSUS,NL0013654783,PRX,PRX.AS
RANDSTAD NV,NL0000379121,RAND,RAND.AS
RELX,GB00B2B0DG97,REN,REN.AS
SHELL PLC,GB00BP6MXD84,SHELL,SHELL.AS
UNILEVER,GB00B10RZP78,UNA,UNA.AS
UMG,NL0015000IY2,UMG,UMG.AS
WOLTERS KLUWER,NL0000395903,WKL,WKL.AS
